gene_id	log2FoldChange	padj
ENSG00000120049	-3.019557725207746	3.3365646423619176e-12
ENSG00000130876	-5.421565909240411	3.922557601451923e-12
ENSG00000119927	-2.9991907247665366	5.687963228938671e-12
ENSG00000167588	-4.253685221235795	7.382664295860549e-12
ENSG00000079435	-2.9160863330961995	3.579391438725661e-11
ENSG00000171227	-2.4231285784136465	7.382469623932821e-11
ENSG00000175445	-3.5452244665653505	1.4102500292554927e-10
ENSG00000010319	-2.3563710521352927	1.5845287892314295e-10
ENSG00000166473	-3.1456236989686523	1.5845287892314295e-10
ENSG00000123243	-2.8351887374656095	2.8127870509019283e-10
ENSG00000164619	-2.480522900350215	2.8127870509019283e-10
ENSG00000079308	-1.8729749391605297	3.6715441338451656e-10
ENSG00000131471	-3.085833918607897	4.34301930119779e-10
ENSG00000154133	-1.8551249222985295	4.4668378617911356e-10
ENSG00000260105	-2.934618865896754	8.232564103774202e-10
ENSG00000135218	-2.985115054336178	8.813553946785108e-10
ENSG00000167676	-3.950563692233176	9.318227586065724e-10
ENSG00000169418	-2.5342912449536215	9.44303717344911e-10
ENSG00000135144	-2.1198804318939803	9.843443930476364e-10
ENSG00000135424	-2.6829113642589997	9.843443930476364e-10
ENSG00000165810	-2.770434695708446	9.843443930476364e-10
ENSG00000206384	-2.902122157443568	1.1074635750944187e-9
ENSG00000166831	-2.046634109688392	1.798264949293743e-9
ENSG00000166819	-3.9083637374414337	1.932367531723336e-9
ENSG00000176438	-1.9172238349229904	2.024131084191126e-9
ENSG00000181856	-3.674870167434888	2.070778572362782e-9
ENSG00000115306	-1.3943464877618008	2.2161625366327327e-9
ENSG00000056998	-2.7201411131479665	3.1067658161088543e-9
ENSG00000170145	-1.5950882384093648	3.1067658161088543e-9
ENSG00000172901	-3.3476953638553915	3.1067658161088543e-9
ENSG00000184232	-1.549944325837243	3.2489175756327523e-9
ENSG00000174807	-1.9233655529566311	3.805224218341062e-9
ENSG00000165269	-3.781142264203192	4.484652109492592e-9
ENSG00000078549	-2.774098042432774	5.00943768602801e-9
ENSG00000175084	-4.001252937330598	5.183140147835469e-9
ENSG00000135447	-3.664778157991664	8.127402650569773e-9
ENSG00000286508	-2.196487048280362	8.938149865609692e-9
ENSG00000083307	1.4235193289107528	9.755287049726676e-9
ENSG00000197766	-2.93009568876011	9.953631645457237e-9
ENSG00000277152	-1.4638589704379104	9.953631645457237e-9
ENSG00000112964	-2.2678346744302784	1.0780362930519525e-8
ENSG00000179776	-1.5852344346916485	1.20411704378001e-8
ENSG00000229847	-2.0259631022769904	1.2828814687833284e-8
ENSG00000170323	-3.876959353353453	1.2882831138931705e-8
ENSG00000135917	-3.8958016524556105	1.2909611117600102e-8
ENSG00000107736	-1.7804029697771957	1.4708632836577928e-8
ENSG00000174059	-1.623156740474544	1.520077928705166e-8
ENSG00000164330	-1.973051058964581	1.5750325097221072e-8
ENSG00000130032	-3.000542562456436	1.6984683676329975e-8
ENSG00000134201	-3.0645899114733397	1.6984683676329975e-8
