ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0000280	nuclear division	103/1612	453/18860	0.22737306843267108	2.6602084805460153	10.934343172916195	1.1209017086639337e-20	6.382414329132438e-17	5.18800506631086e-17	CDKN1C/RGCC/TESMIN/CDCA8/CCDC8/IGF1/TOP6BL/TOP2A/CDK1/RACGAP1/SPDL1/NCAPG2/MAPK15/CAV2/KIF15/KIF23/SPAG5/KIF18B/BUB1B/TOM1L1/IHO1/PKMYT1/NUSAP1/FMN2/ZWINT/MKI67/ESPL1/MZT1/AURKA/SPC25/AURKB/KIF18A/NDC80/CENPK/MCMDC2/BIRC5/SGO1/SMC4/KIF2C/MSX1/FBXO43/ASPM/ZWILCH/KIF14/NCAPG/KNL1/KIFC1/CENPF/TTK/CENPI/KIF11/MYBL2/INCENP/SPC24/CDC20/TRIP13/CCNB1/CENPE/DUSP1/ANLN/CDC25C/TPX2/BRIP1/UBE2C/MAD2L1/KIF4A/FANCA/NEK2/CKS2/NCAPD2/PTTG1/PLK1/DLGAP5/UBE2S/HSPA2/NUF2/RAD51AP1/CDCA2/BUB1/RAD54B/CHEK1/SKA3/IGF2/NCAPH/HASPIN/SKA1/UHRF1/IL1A/SPATA22/MISP/HFM1/SYCP2/EPGN/CENPS/EGF/RAD54L/MYBL1/USP44/HORMAD1/MAEL/MND1/CYP26B1/TNF	103
GO:0007088	regulation of mitotic nuclear division	47/1612	119/18860	0.3949579831932773	4.620910398899014	12.11343618490599	2.602399968313224e-20	6.697509778376079e-17	5.4441333435970686e-17	CDCA8/CCDC8/IGF1/SPDL1/CAV2/BUB1B/TOM1L1/PKMYT1/NUSAP1/ZWINT/MKI67/ESPL1/AURKA/SPC25/AURKB/NDC80/BIRC5/FBXO43/ZWILCH/KNL1/CENPF/TTK/INCENP/SPC24/CDC20/TRIP13/CCNB1/DUSP1/CDC25C/UBE2C/MAD2L1/NEK2/PLK1/DLGAP5/NUF2/CDCA2/BUB1/CHEK1/SKA3/IGF2/HASPIN/SKA1/IL1A/EPGN/EGF/USP44/TNF	47
GO:0140014	mitotic nuclear division	76/1612	281/18860	0.2704626334519573	3.1643456990719074	11.174834483361968	3.5287195881855e-20	6.697509778376079e-17	5.4441333435970686e-17	CDKN1C/RGCC/CDCA8/CCDC8/IGF1/CDK1/RACGAP1/SPDL1/NCAPG2/CAV2/KIF15/KIF23/SPAG5/KIF18B/BUB1B/TOM1L1/PKMYT1/NUSAP1/ZWINT/MKI67/ESPL1/MZT1/AURKA/SPC25/AURKB/KIF18A/NDC80/CENPK/BIRC5/SMC4/KIF2C/FBXO43/ZWILCH/KIF14/NCAPG/KNL1/KIFC1/CENPF/TTK/CENPI/KIF11/MYBL2/INCENP/SPC24/CDC20/TRIP13/CCNB1/CENPE/DUSP1/ANLN/CDC25C/TPX2/UBE2C/MAD2L1/KIF4A/NEK2/NCAPD2/PLK1/DLGAP5/UBE2S/NUF2/CDCA2/BUB1/CHEK1/SKA3/IGF2/NCAPH/HASPIN/SKA1/UHRF1/IL1A/MISP/EPGN/EGF/USP44/TNF	76
GO:0051783	regulation of nuclear division	50/1612	147/18860	0.3401360544217687	3.979507435728634	11.086741189498998	3.0011951746041667e-18	4.272201331049031e-15	3.4726987322985585e-15	CDCA8/CCDC8/IGF1/SPDL1/CAV2/BUB1B/TOM1L1/PKMYT1/NUSAP1/ZWINT/MKI67/ESPL1/AURKA/SPC25/AURKB/NDC80/BIRC5/MSX1/FBXO43/ZWILCH/KNL1/CENPF/TTK/INCENP/SPC24/CDC20/TRIP13/CCNB1/DUSP1/CDC25C/UBE2C/MAD2L1/NEK2/PLK1/DLGAP5/NUF2/RAD51AP1/CDCA2/BUB1/CHEK1/SKA3/IGF2/HASPIN/SKA1/IL1A/EPGN/EGF/USP44/HORMAD1/TNF	50
GO:1905818	regulation of chromosome separation	35/1612	76/18860	0.4605263157894737	5.388043620216795	11.718072204221087	4.907158917345e-18	5.588272575072485e-15	4.5424795283296774e-15	CDCA8/SPDL1/NCAPG2/MAPK15/BUB1B/ZWINT/ESPL1/SPC25/AURKB/NDC80/BIRC5/SMC4/ZWILCH/NCAPG/KNL1/CENPF/TTK/INCENP/SPC24/CDC20/TRIP13/CCNB1/DUSP1/UBE2C/MAD2L1/NCAPD2/PLK1/DLGAP5/NUF2/BUB1/SKA3/NCAPH/HASPIN/SKA1/USP44	35
GO:0000070	mitotic sister chromatid segregation	56/1612	192/18860	0.2916666666666667	3.412427626137304	10.271372715499362	8.269024418257131e-17	7.847304172926017e-14	6.378754450364317e-14	CDCA8/CDK1/RACGAP1/SPDL1/NCAPG2/KIF15/KIF23/SPAG5/KIF18B/BUB1B/NUSAP1/ZWINT/ESPL1/MZT1/SPC25/AURKB/KIF18A/NDC80/CENPK/BIRC5/SMC4/KIF2C/ZWILCH/KIF14/NCAPG/KNL1/KIFC1/CENPF/TTK/CENPI/KIF11/MYBL2/INCENP/SPC24/CDC20/TRIP13/CCNB1/CENPE/DUSP1/TPX2/UBE2C/MAD2L1/KIF4A/NEK2/NCAPD2/PLK1/DLGAP5/NUF2/BUB1/SKA3/NCAPH/HASPIN/SKA1/UHRF1/MISP/USP44	56
GO:0051304	chromosome separation	35/1612	83/18860	0.42168674698795183	4.933630302849114	10.979737599070663	1.527775563960395e-16	1.242736294455784e-13	1.0101697977043394e-13	CDCA8/SPDL1/NCAPG2/MAPK15/BUB1B/ZWINT/ESPL1/SPC25/AURKB/NDC80/BIRC5/SMC4/ZWILCH/NCAPG/KNL1/CENPF/TTK/INCENP/SPC24/CDC20/TRIP13/CCNB1/DUSP1/UBE2C/MAD2L1/NCAPD2/PLK1/DLGAP5/NUF2/BUB1/SKA3/NCAPH/HASPIN/SKA1/USP44	35
GO:0007094	mitotic spindle assembly checkpoint signaling	26/1612	48/18860	0.5416666666666666	6.337365591397849	11.318856719395846	5.98493456038488e-16	3.158369484518589e-13	2.567310118393921e-13	CDCA8/SPDL1/BUB1B/ZWINT/SPC25/AURKB/NDC80/BIRC5/ZWILCH/KNL1/CENPF/TTK/INCENP/SPC24/CDC20/TRIP13/CCNB1/DUSP1/MAD2L1/PLK1/NUF2/BUB1/SKA3/HASPIN/SKA1/USP44	26
GO:0071173	spindle assembly checkpoint signaling	26/1612	48/18860	0.5416666666666666	6.337365591397849	11.318856719395846	5.98493456038488e-16	3.158369484518589e-13	2.567310118393921e-13	CDCA8/SPDL1/BUB1B/ZWINT/SPC25/AURKB/NDC80/BIRC5/ZWILCH/KNL1/CENPF/TTK/INCENP/SPC24/CDC20/TRIP13/CCNB1/DUSP1/MAD2L1/PLK1/NUF2/BUB1/SKA3/HASPIN/SKA1/USP44	26
GO:0071174	mitotic spindle checkpoint signaling	26/1612	48/18860	0.5416666666666666	6.337365591397849	11.318856719395846	5.98493456038488e-16	3.158369484518589e-13	2.567310118393921e-13	CDCA8/SPDL1/BUB1B/ZWINT/SPC25/AURKB/NDC80/BIRC5/ZWILCH/KNL1/CENPF/TTK/INCENP/SPC24/CDC20/TRIP13/CCNB1/DUSP1/MAD2L1/PLK1/NUF2/BUB1/SKA3/HASPIN/SKA1/USP44	26
